customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0019,Male,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.66,456.82,No
CUST0020,Female,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,72.55,547.07,Yes
CUST0021,Male,0,No,Yes,15,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),62.14,982.24,No
CUST0022,Female,1,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.83,324.51,Yes
CUST0023,Female,1,Yes,No,2,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),71.18,0.0,No
CUST0024,Female,0,Yes,No,4,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,80.35,269.22,Yes
CUST0025,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,44.27,41.7,No
CUST0026,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.31,6193.06,No
CUST0027,Female,0,Yes,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,600.4,Yes
CUST0028,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,83.51,6097.22,No
CUST0029,Female,1,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.69,707.28,No
CUST0030,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,95.52,677.92,No
CUST0031,Male,1,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.57,1444.19,Yes
CUST0032,Female,1,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.69,477.59,Yes
CUST0033,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.12,523.45,Yes
CUST0034,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,68.29,422.25,No
CUST0035,Male,1,Yes,No,3,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.64,154.67,Yes
CUST0036,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,100.98,675.49,No
CUST0037,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.16,316.99,Yes
CUST0038,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,94.77,2575.31,No
CUST0039,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.81,0.0,Yes
CUST0040,Male,1,No,No,5,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.41,485.68,Yes
CUST0041,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,37.9,1469.39,No
CUST0042,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.19,12.51,Yes
CUST0043,Female,0,Yes,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),75.83,664.44,Yes
CUST0044,Female,0,No,Yes,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.51,4672.21,Yes
CUST0045,Female,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),84.9,433.98,Yes
CUST0046,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),93.13,336.92,Yes
CUST0047,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,94.57,1440.6,Yes
CUST0048,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,64.23,793.14,Yes
CUST0049,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),102.09,1941.26,Yes
CUST0050,Male,0,No,No,40,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,62.62,2613.2,No
CUST0051,Female,1,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.85,275.39,No
CUST0052,Male,0,No,No,21,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,92.32,1851.68,No
CUST0053,Female,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,60.75,958.29,No
CUST0054,Male,1,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,80.33,235.75,No
CUST0055,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.39,2179.36,Yes
CUST0056,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.75,898.24,Yes
CUST0057,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),57.66,828.09,No
CUST0058,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),75.04,51.11,Yes
CUST0059,Male,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,182.09,No
CUST0060,Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,76.41,676.55,No
CUST0061,Male,0,Yes,No,43,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.28,3517.13,Yes
CUST0062,Male,0,No,Yes,1,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),78.49,0.0,Yes
CUST0063,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,97.3,1291.87,Yes
CUST0064,Male,0,No,No,15,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,70.03,1276.78,Yes
CUST0065,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.82,3047.74,Yes
CUST0066,Female,0,No,Yes,21,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,92.01,1888.77,Yes
CUST0067,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,104.27,2871.39,Yes
CUST0068,Female,1,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,95.1,3462.81,Yes
CUST0069,Female,0,Yes,No,49,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,102.67,5097.9,No
CUST0070,Female,0,No,No,9,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.15,784.48,Yes
CUST0071,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),68.14,1477.96,No
CUST0072,Male,0,No,No,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),87.46,3970.12,No
CUST0073,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.26,1828.8,No
CUST0074,Male,1,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.37,3206.68,No
CUST0075,Female,1,Yes,No,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.75,1254.87,Yes
CUST0076,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.04,317.48,Yes
CUST0077,Female,1,No,No,16,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.62,795.1,No
CUST0078,Male,0,No,No,33,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),85.99,2770.76,No
CUST0079,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),109.71,1699.24,No
CUST0080,Male,0,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,290.43,Yes
CUST0081,Female,1,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.77,1807.43,No
CUST0082,Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,92.26,865.7,No
CUST0083,Female,0,Yes,No,49,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,64.32,3111.53,No
CUST0084,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,96.18,1240.35,Yes
CUST0085,Male,0,Yes,No,9,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.19,685.86,No
CUST0086,Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,107.79,1685.56,No
CUST0087,Male,0,Yes,No,35,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.6,2248.08,No
CUST0088,Female,0,Yes,Yes,3,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,55.5,158.65,Yes
CUST0089,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.2,174.04,No
CUST0090,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),96.32,6718.89,Yes
CUST0091,Female,0,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),57.73,188.8,Yes
CUST0092,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),110.55,2311.57,No
CUST0093,Female,0,Yes,No,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.87,437.88,No
CUST0094,Female,1,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,111.79,1714.94,Yes
CUST0095,Female,0,No,No,25,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,54.36,1586.69,No
CUST0096,Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,60.74,546.36,Yes
CUST0097,Female,0,Yes,No,20,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),74.09,1528.61,No
CUST0098,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.27,413.81,No
CUST0099,Male,0,No,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,80.06,1939.05,Yes
CUST0100,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,116.35,270.31,Yes
CUST0101,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),101.64,2087.4,Yes
CUST0102,Female,0,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.36,373.2,Yes
CUST0103,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.17,184.36,Yes
CUST0104,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,113.4,425.39,Yes
CUST0105,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.98,323.49,Yes
CUST0106,Female,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.72,3439.43,No
CUST0107,Female,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),94.69,917.74,No
CUST0108,Female,0,Yes,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,1107.42,No
CUST0109,Male,0,No,Yes,72,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,62.41,4406.81,No
CUST0110,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,41.57,605.05,No
CUST0111,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.74,284.87,Yes
CUST0112,Female,0,No,Yes,11,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,75.39,919.39,Yes
CUST0113,Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,84.88,3249.01,No
CUST0114,Male,1,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.75,1058.58,Yes
CUST0115,Female,1,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,67.65,109.63,Yes
CUST0116,Male,0,No,No,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.27,1620.01,No
CUST0117,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.53,5039.96,No
CUST0118,Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),93.34,3669.03,Yes
CUST0119,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,118.75,277.07,Yes
CUST0120,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,64.88,1821.18,Yes
CUST0121,Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.08,708.93,No
CUST0122,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),97.19,719.07,No
CUST0123,Male,0,No,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),99.99,4997.62,No
CUST0124,Male,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.24,150.71,No
CUST0125,Female,0,No,No,7,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.41,633.28,Yes
CUST0126,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.93,44.23,No
CUST0127,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.74,4286.06,Yes
CUST0128,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),108.05,3974.73,No
CUST0129,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,89.28,2177.36,No
CUST0130,Female,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,85.17,2880.46,Yes
CUST0131,Male,1,Yes,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,75.45,245.12,Yes
CUST0132,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),114.43,1792.85,Yes
CUST0133,Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),90.08,896.26,No
CUST0134,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,107.0,82.08,Yes
CUST0135,Male,0,Yes,No,16,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,67.15,881.31,No
CUST0136,Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.75,1887.3,No
CUST0137,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.5,328.81,No
CUST0138,Male,0,No,No,8,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),67.1,609.11,No
CUST0139,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),102.71,532.42,No
CUST0140,Female,0,No,Yes,6,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.96,425.6,Yes
CUST0141,Male,0,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.26,1819.66,No
CUST0142,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),95.47,1548.75,Yes
CUST0143,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,46.53,648.93,No
CUST0144,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,76.51,2735.46,No
CUST0145,Male,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),108.92,400.84,No
CUST0146,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),33.67,732.8,No
CUST0147,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.43,626.23,No
CUST0148,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,82.28,1934.65,Yes
CUST0149,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.76,2516.37,No
CUST0150,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.59,2971.12,Yes
CUST0151,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.17,306.75,Yes
CUST0152,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.93,4350.86,No
CUST0153,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,83.16,496.14,Yes
CUST0154,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),70.48,0.0,Yes
CUST0155,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,95.92,499.93,Yes
CUST0156,Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,58.25,626.28,Yes
CUST0157,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),66.46,1181.88,Yes
CUST0158,Male,0,Yes,Yes,23,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,67.08,1497.74,No
CUST0159,Female,0,Yes,No,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,80.2,5020.83,No
CUST0160,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,100.16,1573.23,No
CUST0161,Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,105.74,1943.45,Yes
CUST0162,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,87.07,208.58,No
CUST0163,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,87.55,190.09,No
CUST0164,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.27,506.61,Yes
CUST0165,Male,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.64,1532.14,No
CUST0166,Female,0,Yes,Yes,45,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,64.0,3029.14,Yes
CUST0167,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,104.94,232.07,Yes
CUST0168,Male,0,Yes,No,0,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),77.05,0.0,No
CUST0169,Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,81.17,1087.56,No
CUST0170,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.23,626.56,Yes
CUST0171,Male,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.39,193.61,Yes
CUST0172,Male,0,No,No,32,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.57,2175.73,Yes
CUST0173,Female,0,No,Yes,2,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),90.81,120.79,Yes
CUST0174,Female,0,No,No,23,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.84,1936.45,No
CUST0175,Female,1,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.2,464.6,Yes
CUST0176,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.81,447.35,Yes
